longitude,latitude,site,state_province,crop,pest,date,count
-73.54191408,44.60653056,Peru_Clinton,NY,Field Corn,WBC,6/3/18,
-73.46342211,44.76640273,Beekmantown_Clinton,NY,Field Corn,WBC,6/3/18,
-73.42161368,44.88205003,Chazy_Clinton,NY,Field Corn,WBC,6/3/18,
-73.428375,44.97509,Champlain_Clinton,NY,Field Corn,WBC,6/3/18,
-73.53743,44.939597,Mooers_Clinton,NY,Field Corn,WBC,6/3/18,
,,Ellenburgh_Clinton,NY,Field Corn,WBC,6/3/18,
-74.93916,42.440168,Walton _Delaware,NY,Field Corn,WBC,6/3/18,
-73.471527,44.885946,Chazy_Clinton,NY,Field Corn,WBC,6/3/18,
-73.393725,44.379596,Willsboro_Essex,NY,Field Corn,WBC,6/3/18,
-75.116423,42.158023,Walton_Delaware,NY,Field Corn,WBC,6/3/18,
-76.23631,42.70539,Homer_Cortland,NY,Field Corn,WBC,6/3/18,
,,Preble_Cortland,NY,Field Corn,WBC,6/3/18,
-76.3644363,43.0505591,Memphis_Onondaga,NY,Field Corn,WBC,6/3/18,
-75.4875926,43.1682848,Westmoreland_Oneida,NY,Field Corn,WBC,6/3/18,
-77.9288565,43.3403417,Hamlin_Monroe,NY,Field Corn,WBC,6/3/18,
-73.605681,41.847523,Amenia_Dutchess,NY,Field Corn,WBC,6/3/18,
-73.57385,43.003133,Easton_Washington,NY,Field Corn,WBC,6/3/18,
-73.642067,43.27045,Moreau_Saratoga,NY,Field Corn,WBC,6/3/18,
-74.292919,42.896962,Glen_Montgomery,NY,Field Corn,WBC,6/3/18,
-74.336027,42.64344,Middlebury_Montgomery,NY,Field Corn,WBC,6/3/18,
-74.57148,42.959951,Palatine_Montgomery,NY,Field Corn,WBC,6/3/18,
-74.843357,43.113432,Salisbury_Herkimer,NY,Field Corn,WBC,6/3/18,
-75.648984,42.975723,Smithville_Madison,NY,Field Corn,WBC,6/3/18,
-74.700244,42.842397,CherryValley_Otsego,NY,Field Corn,WBC,6/3/18,
-76.089674,44.020808,Calcium_Jefferson,NY,Field Corn,WBC,6/3/18,
-76.31843,44.13099,Clayton_Jefferson,NY,Field Corn,WBC,6/3/18,
-75.460894,43.898809,Croghan_Lewis,NY,Field Corn,WBC,6/3/18,
-75.538753,43.87701,Denmark_Lewis,NY,Field Corn,WBC,6/3/18,
-76.14312,43.758165,Ellisburg_Jefferson,NY,Field Corn,WBC,6/3/18,
-75.637596,43.85461,Harrisburg_Lewis,NY,Field Corn,WBC,6/3/18,
-76.089674,43.907172,Hounsfield_Jefferson,NY,Field Corn,WBC,6/3/18,
-75.423109,43.856265,NewBremen_Lewis,NY,Field Corn,WBC,6/3/18,
-75.518138,43.785516,Lowville_Lewis,NY,Field Corn,WBC,6/3/18,
-75.847515,44.132027,Pamelia_Jefferson,NY,Field Corn,WBC,6/3/18,
-75.683304,44.147443,Philadelphia_Jefferson,NY,Field Corn,WBC,6/3/18,
-75.85926,44.28818,Plessis_Jefferson,NY,Field Corn,WBC,6/3/18,
-75.393755,43.627956,Turin_Lewis,NY,Field Corn,WBC,6/3/18,
-75.760802,43.964184,Rutland_Jefferson,NY,Field Corn,WBC,6/3/18,
-75.87421,43.9426,Watertown_Jefferson,NY,Field Corn,WBC,6/3/18,
-74.292919,42.896962,Martinsburg_Lewis,NY,Field Corn,WBC,6/3/18,
-72.682641,40.936063,Riverhead_Suffolk,NY,Field Corn,WBC,6/3/18,
,,Cassville_Oneida,NY,Field Corn,WBC,6/3/18,
-75.531,42.985,Munnsville_Oneida,NY,Field Corn,WBC,6/3/18,
-75.665033,43.326983,Taberg_Oneida,NY,Field Corn,WBC,6/3/18,
-74.89380486,44.50932708,SouthColton_StLawrence,NY,Field Corn,WBC,6/3/18,
-75.20071982,44.69718757,Madrid_StLawrence,NY,Field Corn,WBC,6/3/18,
-75.44075388,44.57714086,Huevelton_StLawrence,NY,Field Corn,WBC,6/3/18,
-75.1081954,44.83335959,Waddington_StLawrence,NY,Field Corn,WBC,6/3/18,
-75.58601,44.529431,Hammond_StLawrence,NY,Field Corn,WBC,6/3/18,
-74.82932,44.961665,Massena_StLawrence,NY,Field Corn,WBC,6/3/18,
-75.2440316,44.34223369,Edwards_StLawrence,NY,Field Corn,WBC,6/3/18,
-74.65794379,44.74663646,Lawrence_StLawrence,NY,Field Corn,WBC,6/3/18,
-74.56286,44.789069,Moira_Franklin,NY,Field Corn,WBC,6/3/18,
-74.350267,44.898525,Westville_Franklin,NY,Field Corn,WBC,6/3/18,
-74.074872,44.928985,Chateaugay_Franklin,NY,Field Corn,WBC,6/3/18,
-74.320377,44.843661,Malone_Franklin,NY,Field Corn,WBC,6/3/18,
-74.567352,44.934243,Bombay _Franklin,NY,Field Corn,WBC,6/3/18,
-74.417078,44.80492,WestBangor_Franklin,NY,Field Corn,WBC,6/3/18,
-76.536062,43.002916,Auburn_Seneca,NY,Field Corn,WBC,6/3/18,
-76.654991,42.732757,Cayuga,NY,Field Corn,WBC,6/3/18,
-78.121817,42.769511,Cortland,NY,Field Corn,WBC,6/3/18,
-77.342791,42.887025,Ontario,NY,Field Corn,WBC,6/3/18,
-78.275019,43.218138,Orleans,NY,Field Corn,WBC,6/3/18,
-77.964667,43.306867,Monroe ,NY,Field Corn,WBC,6/3/18,
-78.520186,43.366587,Niagara,NY,Field Corn,WBC,6/3/18,
-77.289767,43.171933,Wayne,NY,Field Corn,WBC,6/3/18,
,,Wyoming,NY,Field Corn,WBC,6/3/18,
-73.45367,44.255007,Essex_1,NY,Field Corn,WBC,6/3/18,
-73.453987,44.323634,Essex_2,NY,Field Corn,WBC,6/3/18,
-73.726077,42.376038,Kinderkook_Columbia,NY,Field Corn,WBC,6/3/18,
-73.612225,43.15819,Gansevoort_Saratoga,NY,Field Corn,WBC,6/3/18,
-73.664191,43.193367,Wilton_Saratoga,NY,Field Corn,WBC,6/3/18,
-76.1714,43.7767,Ellisburg_Jefferson,NY,Field Corn,WBC,6/3/18,
-73.54191408,44.60653056,Peru_Clinton,NY,Field Corn,WBC,6/10/18,
-73.46342211,44.76640273,Beekmantown_Clinton,NY,Field Corn,WBC,6/10/18,
-73.42161368,44.88205003,Chazy_Clinton,NY,Field Corn,WBC,6/10/18,
-73.428375,44.97509,Champlain_Clinton,NY,Field Corn,WBC,6/10/18,
-73.53743,44.939597,Mooers_Clinton,NY,Field Corn,WBC,6/10/18,
,,Ellenburgh_Clinton,NY,Field Corn,WBC,6/10/18,
-74.93916,42.440168,Walton _Delaware,NY,Field Corn,WBC,6/10/18,
-73.471527,44.885946,Chazy_Clinton,NY,Field Corn,WBC,6/10/18,
-73.393725,44.379596,Willsboro_Essex,NY,Field Corn,WBC,6/10/18,
-75.116423,42.158023,Walton_Delaware,NY,Field Corn,WBC,6/10/18,
-76.23631,42.70539,Homer_Cortland,NY,Field Corn,WBC,6/10/18,
,,Preble_Cortland,NY,Field Corn,WBC,6/10/18,
-76.3644363,43.0505591,Memphis_Onondaga,NY,Field Corn,WBC,6/10/18,0
-75.4875926,43.1682848,Westmoreland_Oneida,NY,Field Corn,WBC,6/10/18,0
-77.9288565,43.3403417,Hamlin_Monroe,NY,Field Corn,WBC,6/10/18,
-73.605681,41.847523,Amenia_Dutchess,NY,Field Corn,WBC,6/10/18,0
-73.57385,43.003133,Easton_Washington,NY,Field Corn,WBC,6/10/18,
-73.642067,43.27045,Moreau_Saratoga,NY,Field Corn,WBC,6/10/18,
-74.292919,42.896962,Glen_Montgomery,NY,Field Corn,WBC,6/10/18,
-74.336027,42.64344,Middlebury_Montgomery,NY,Field Corn,WBC,6/10/18,
-74.57148,42.959951,Palatine_Montgomery,NY,Field Corn,WBC,6/10/18,
-74.843357,43.113432,Salisbury_Herkimer,NY,Field Corn,WBC,6/10/18,
-75.648984,42.975723,Smithville_Madison,NY,Field Corn,WBC,6/10/18,
-74.700244,42.842397,CherryValley_Otsego,NY,Field Corn,WBC,6/10/18,
-76.089674,44.020808,Calcium_Jefferson,NY,Field Corn,WBC,6/10/18,
-76.31843,44.13099,Clayton_Jefferson,NY,Field Corn,WBC,6/10/18,
-75.460894,43.898809,Croghan_Lewis,NY,Field Corn,WBC,6/10/18,
-75.538753,43.87701,Denmark_Lewis,NY,Field Corn,WBC,6/10/18,
-76.14312,43.758165,Ellisburg_Jefferson,NY,Field Corn,WBC,6/10/18,
-75.637596,43.85461,Harrisburg_Lewis,NY,Field Corn,WBC,6/10/18,
-76.089674,43.907172,Hounsfield_Jefferson,NY,Field Corn,WBC,6/10/18,
-75.423109,43.856265,NewBremen_Lewis,NY,Field Corn,WBC,6/10/18,
-75.518138,43.785516,Lowville_Lewis,NY,Field Corn,WBC,6/10/18,
-75.847515,44.132027,Pamelia_Jefferson,NY,Field Corn,WBC,6/10/18,
-75.683304,44.147443,Philadelphia_Jefferson,NY,Field Corn,WBC,6/10/18,
-75.85926,44.28818,Plessis_Jefferson,NY,Field Corn,WBC,6/10/18,
-75.393755,43.627956,Turin_Lewis,NY,Field Corn,WBC,6/10/18,
-75.760802,43.964184,Rutland_Jefferson,NY,Field Corn,WBC,6/10/18,
-75.87421,43.9426,Watertown_Jefferson,NY,Field Corn,WBC,6/10/18,
-74.292919,42.896962,Martinsburg_Lewis,NY,Field Corn,WBC,6/10/18,
-72.682641,40.936063,Riverhead_Suffolk,NY,Field Corn,WBC,6/10/18,0
,,Cassville_Oneida,NY,Field Corn,WBC,6/10/18,
-75.531,42.985,Munnsville_Oneida,NY,Field Corn,WBC,6/10/18,
-75.665033,43.326983,Taberg_Oneida,NY,Field Corn,WBC,6/10/18,
-74.89380486,44.50932708,SouthColton_StLawrence,NY,Field Corn,WBC,6/10/18,
-75.20071982,44.69718757,Madrid_StLawrence,NY,Field Corn,WBC,6/10/18,
-75.44075388,44.57714086,Huevelton_StLawrence,NY,Field Corn,WBC,6/10/18,
-75.1081954,44.83335959,Waddington_StLawrence,NY,Field Corn,WBC,6/10/18,
-75.58601,44.529431,Hammond_StLawrence,NY,Field Corn,WBC,6/10/18,
-74.82932,44.961665,Massena_StLawrence,NY,Field Corn,WBC,6/10/18,
-75.2440316,44.34223369,Edwards_StLawrence,NY,Field Corn,WBC,6/10/18,
-74.65794379,44.74663646,Lawrence_StLawrence,NY,Field Corn,WBC,6/10/18,
-74.56286,44.789069,Moira_Franklin,NY,Field Corn,WBC,6/10/18,
-74.350267,44.898525,Westville_Franklin,NY,Field Corn,WBC,6/10/18,
-74.074872,44.928985,Chateaugay_Franklin,NY,Field Corn,WBC,6/10/18,
-74.320377,44.843661,Malone_Franklin,NY,Field Corn,WBC,6/10/18,
-74.567352,44.934243,Bombay _Franklin,NY,Field Corn,WBC,6/10/18,
-74.417078,44.80492,WestBangor_Franklin,NY,Field Corn,WBC,6/10/18,
-76.536062,43.002916,Auburn_Seneca,NY,Field Corn,WBC,6/10/18,0
-76.654991,42.732757,Cayuga,NY,Field Corn,WBC,6/10/18,
-78.121817,42.769511,Cortland,NY,Field Corn,WBC,6/10/18,
-77.342791,42.887025,Ontario,NY,Field Corn,WBC,6/10/18,
-78.275019,43.218138,Orleans,NY,Field Corn,WBC,6/10/18,
-77.964667,43.306867,Monroe ,NY,Field Corn,WBC,6/10/18,
-78.520186,43.366587,Niagara,NY,Field Corn,WBC,6/10/18,
-77.289767,43.171933,Wayne,NY,Field Corn,WBC,6/10/18,
,,Wyoming,NY,Field Corn,WBC,6/10/18,
-73.45367,44.255007,Essex_1,NY,Field Corn,WBC,6/10/18,
-73.453987,44.323634,Essex_2,NY,Field Corn,WBC,6/10/18,
-73.726077,42.376038,Kinderkook_Columbia,NY,Field Corn,WBC,6/10/18,0
-73.612225,43.15819,Gansevoort_Saratoga,NY,Field Corn,WBC,6/10/18,0
-73.664191,43.193367,Wilton_Saratoga,NY,Field Corn,WBC,6/10/18,0
-76.1714,43.7767,Ellisburg_Jefferson,NY,Field Corn,WBC,6/10/18,
-73.54191408,44.60653056,Peru_Clinton,NY,Field Corn,WBC,6/17/18,
-73.46342211,44.76640273,Beekmantown_Clinton,NY,Field Corn,WBC,6/17/18,
-73.42161368,44.88205003,Chazy_Clinton,NY,Field Corn,WBC,6/17/18,
-73.428375,44.97509,Champlain_Clinton,NY,Field Corn,WBC,6/17/18,
-73.53743,44.939597,Mooers_Clinton,NY,Field Corn,WBC,6/17/18,
,,Ellenburgh_Clinton,NY,Field Corn,WBC,6/17/18,
-74.93916,42.440168,Walton _Delaware,NY,Field Corn,WBC,6/17/18,0
-73.471527,44.885946,Chazy_Clinton,NY,Field Corn,WBC,6/17/18,0
-73.393725,44.379596,Willsboro_Essex,NY,Field Corn,WBC,6/17/18,0
-75.116423,42.158023,Walton_Delaware,NY,Field Corn,WBC,6/17/18,
-76.23631,42.70539,Homer_Cortland,NY,Field Corn,WBC,6/17/18,
,,Preble_Cortland,NY,Field Corn,WBC,6/17/18,
-76.3644363,43.0505591,Memphis_Onondaga,NY,Field Corn,WBC,6/17/18,0
-75.4875926,43.1682848,Westmoreland_Oneida,NY,Field Corn,WBC,6/17/18,0
-77.9288565,43.3403417,Hamlin_Monroe,NY,Field Corn,WBC,6/17/18,
-73.605681,41.847523,Amenia_Dutchess,NY,Field Corn,WBC,6/17/18,0
-73.57385,43.003133,Easton_Washington,NY,Field Corn,WBC,6/17/18,
-73.642067,43.27045,Moreau_Saratoga,NY,Field Corn,WBC,6/17/18,
-74.292919,42.896962,Glen_Montgomery,NY,Field Corn,WBC,6/17/18,0
-74.336027,42.64344,Middlebury_Montgomery,NY,Field Corn,WBC,6/17/18,0
-74.57148,42.959951,Palatine_Montgomery,NY,Field Corn,WBC,6/17/18,
-74.843357,43.113432,Salisbury_Herkimer,NY,Field Corn,WBC,6/17/18,
-75.648984,42.975723,Smithville_Madison,NY,Field Corn,WBC,6/17/18,
-74.700244,42.842397,CherryValley_Otsego,NY,Field Corn,WBC,6/17/18,
-76.089674,44.020808,Calcium_Jefferson,NY,Field Corn,WBC,6/17/18,
-76.31843,44.13099,Clayton_Jefferson,NY,Field Corn,WBC,6/17/18,
-75.460894,43.898809,Croghan_Lewis,NY,Field Corn,WBC,6/17/18,
-75.538753,43.87701,Denmark_Lewis,NY,Field Corn,WBC,6/17/18,
-76.14312,43.758165,Ellisburg_Jefferson,NY,Field Corn,WBC,6/17/18,
-75.637596,43.85461,Harrisburg_Lewis,NY,Field Corn,WBC,6/17/18,
-76.089674,43.907172,Hounsfield_Jefferson,NY,Field Corn,WBC,6/17/18,
-75.423109,43.856265,NewBremen_Lewis,NY,Field Corn,WBC,6/17/18,
-75.518138,43.785516,Lowville_Lewis,NY,Field Corn,WBC,6/17/18,
-75.847515,44.132027,Pamelia_Jefferson,NY,Field Corn,WBC,6/17/18,
-75.683304,44.147443,Philadelphia_Jefferson,NY,Field Corn,WBC,6/17/18,
-75.85926,44.28818,Plessis_Jefferson,NY,Field Corn,WBC,6/17/18,
-75.393755,43.627956,Turin_Lewis,NY,Field Corn,WBC,6/17/18,
-75.760802,43.964184,Rutland_Jefferson,NY,Field Corn,WBC,6/17/18,
-75.87421,43.9426,Watertown_Jefferson,NY,Field Corn,WBC,6/17/18,
-74.292919,42.896962,Martinsburg_Lewis,NY,Field Corn,WBC,6/17/18,
-72.682641,40.936063,Riverhead_Suffolk,NY,Field Corn,WBC,6/17/18,0
,,Cassville_Oneida,NY,Field Corn,WBC,6/17/18,0
-75.531,42.985,Munnsville_Oneida,NY,Field Corn,WBC,6/17/18,0
-75.665033,43.326983,Taberg_Oneida,NY,Field Corn,WBC,6/17/18,0
-74.89380486,44.50932708,SouthColton_StLawrence,NY,Field Corn,WBC,6/17/18,
-75.20071982,44.69718757,Madrid_StLawrence,NY,Field Corn,WBC,6/17/18,
-75.44075388,44.57714086,Huevelton_StLawrence,NY,Field Corn,WBC,6/17/18,
-75.1081954,44.83335959,Waddington_StLawrence,NY,Field Corn,WBC,6/17/18,
-75.58601,44.529431,Hammond_StLawrence,NY,Field Corn,WBC,6/17/18,
-74.82932,44.961665,Massena_StLawrence,NY,Field Corn,WBC,6/17/18,
-75.2440316,44.34223369,Edwards_StLawrence,NY,Field Corn,WBC,6/17/18,
-74.65794379,44.74663646,Lawrence_StLawrence,NY,Field Corn,WBC,6/17/18,
-74.56286,44.789069,Moira_Franklin,NY,Field Corn,WBC,6/17/18,
-74.350267,44.898525,Westville_Franklin,NY,Field Corn,WBC,6/17/18,
-74.074872,44.928985,Chateaugay_Franklin,NY,Field Corn,WBC,6/17/18,
-74.320377,44.843661,Malone_Franklin,NY,Field Corn,WBC,6/17/18,
-74.567352,44.934243,Bombay _Franklin,NY,Field Corn,WBC,6/17/18,
-74.417078,44.80492,WestBangor_Franklin,NY,Field Corn,WBC,6/17/18,
-76.536062,43.002916,Auburn_Seneca,NY,Field Corn,WBC,6/17/18,0
-76.654991,42.732757,Cayuga,NY,Field Corn,WBC,6/17/18,
-78.121817,42.769511,Cortland,NY,Field Corn,WBC,6/17/18,
-77.342791,42.887025,Ontario,NY,Field Corn,WBC,6/17/18,
-78.275019,43.218138,Orleans,NY,Field Corn,WBC,6/17/18,
-77.964667,43.306867,Monroe ,NY,Field Corn,WBC,6/17/18,
-78.520186,43.366587,Niagara,NY,Field Corn,WBC,6/17/18,
-77.289767,43.171933,Wayne,NY,Field Corn,WBC,6/17/18,
,,Wyoming,NY,Field Corn,WBC,6/17/18,
-73.45367,44.255007,Essex_1,NY,Field Corn,WBC,6/17/18,
-73.453987,44.323634,Essex_2,NY,Field Corn,WBC,6/17/18,
-73.726077,42.376038,Kinderkook_Columbia,NY,Field Corn,WBC,6/17/18,0
-73.612225,43.15819,Gansevoort_Saratoga,NY,Field Corn,WBC,6/17/18,0
-73.664191,43.193367,Wilton_Saratoga,NY,Field Corn,WBC,6/17/18,0
-76.1714,43.7767,Ellisburg_Jefferson,NY,Field Corn,WBC,6/17/18,0
-73.54191408,44.60653056,Peru_Clinton,NY,Field Corn,WBC,6/24/18,0
-73.46342211,44.76640273,Beekmantown_Clinton,NY,Field Corn,WBC,6/24/18,0
-73.42161368,44.88205003,Chazy_Clinton,NY,Field Corn,WBC,6/24/18,0
-73.428375,44.97509,Champlain_Clinton,NY,Field Corn,WBC,6/24/18,0
-73.53743,44.939597,Mooers_Clinton,NY,Field Corn,WBC,6/24/18,0
,,Ellenburgh_Clinton,NY,Field Corn,WBC,6/24/18,0
-74.93916,42.440168,Walton _Delaware,NY,Field Corn,WBC,6/24/18,0
-73.471527,44.885946,Chazy_Clinton,NY,Field Corn,WBC,6/24/18,0
-73.393725,44.379596,Willsboro_Essex,NY,Field Corn,WBC,6/24/18,0
-75.116423,42.158023,Walton_Delaware,NY,Field Corn,WBC,6/24/18,
-76.23631,42.70539,Homer_Cortland,NY,Field Corn,WBC,6/24/18,
,,Preble_Cortland,NY,Field Corn,WBC,6/24/18,
-76.3644363,43.0505591,Memphis_Onondaga,NY,Field Corn,WBC,6/24/18,0
-75.4875926,43.1682848,Westmoreland_Oneida,NY,Field Corn,WBC,6/24/18,0
-77.9288565,43.3403417,Hamlin_Monroe,NY,Field Corn,WBC,6/24/18,
-73.605681,41.847523,Amenia_Dutchess,NY,Field Corn,WBC,6/24/18,0
-73.57385,43.003133,Easton_Washington,NY,Field Corn,WBC,6/24/18,0
-73.642067,43.27045,Moreau_Saratoga,NY,Field Corn,WBC,6/24/18,0
-74.292919,42.896962,Glen_Montgomery,NY,Field Corn,WBC,6/24/18,1
-74.336027,42.64344,Middlebury_Montgomery,NY,Field Corn,WBC,6/24/18,0
-74.57148,42.959951,Palatine_Montgomery,NY,Field Corn,WBC,6/24/18,
-74.843357,43.113432,Salisbury_Herkimer,NY,Field Corn,WBC,6/24/18,0
-75.648984,42.975723,Smithville_Madison,NY,Field Corn,WBC,6/24/18,0
-74.700244,42.842397,CherryValley_Otsego,NY,Field Corn,WBC,6/24/18,0
-76.089674,44.020808,Calcium_Jefferson,NY,Field Corn,WBC,6/24/18,
-76.31843,44.13099,Clayton_Jefferson,NY,Field Corn,WBC,6/24/18,
-75.460894,43.898809,Croghan_Lewis,NY,Field Corn,WBC,6/24/18,
-75.538753,43.87701,Denmark_Lewis,NY,Field Corn,WBC,6/24/18,
-76.14312,43.758165,Ellisburg_Jefferson,NY,Field Corn,WBC,6/24/18,
-75.637596,43.85461,Harrisburg_Lewis,NY,Field Corn,WBC,6/24/18,
-76.089674,43.907172,Hounsfield_Jefferson,NY,Field Corn,WBC,6/24/18,
-75.423109,43.856265,NewBremen_Lewis,NY,Field Corn,WBC,6/24/18,
-75.518138,43.785516,Lowville_Lewis,NY,Field Corn,WBC,6/24/18,
-75.847515,44.132027,Pamelia_Jefferson,NY,Field Corn,WBC,6/24/18,
-75.683304,44.147443,Philadelphia_Jefferson,NY,Field Corn,WBC,6/24/18,
-75.85926,44.28818,Plessis_Jefferson,NY,Field Corn,WBC,6/24/18,
-75.393755,43.627956,Turin_Lewis,NY,Field Corn,WBC,6/24/18,
-75.760802,43.964184,Rutland_Jefferson,NY,Field Corn,WBC,6/24/18,
-75.87421,43.9426,Watertown_Jefferson,NY,Field Corn,WBC,6/24/18,
-74.292919,42.896962,Martinsburg_Lewis,NY,Field Corn,WBC,6/24/18,0
-72.682641,40.936063,Riverhead_Suffolk,NY,Field Corn,WBC,6/24/18,0
,,Cassville_Oneida,NY,Field Corn,WBC,6/24/18,0
-75.531,42.985,Munnsville_Oneida,NY,Field Corn,WBC,6/24/18,0
-75.665033,43.326983,Taberg_Oneida,NY,Field Corn,WBC,6/24/18,0
-74.89380486,44.50932708,SouthColton_StLawrence,NY,Field Corn,WBC,6/24/18,
-75.20071982,44.69718757,Madrid_StLawrence,NY,Field Corn,WBC,6/24/18,
-75.44075388,44.57714086,Huevelton_StLawrence,NY,Field Corn,WBC,6/24/18,
-75.1081954,44.83335959,Waddington_StLawrence,NY,Field Corn,WBC,6/24/18,
-75.58601,44.529431,Hammond_StLawrence,NY,Field Corn,WBC,6/24/18,
-74.82932,44.961665,Massena_StLawrence,NY,Field Corn,WBC,6/24/18,
-75.2440316,44.34223369,Edwards_StLawrence,NY,Field Corn,WBC,6/24/18,
-74.65794379,44.74663646,Lawrence_StLawrence,NY,Field Corn,WBC,6/24/18,
-74.56286,44.789069,Moira_Franklin,NY,Field Corn,WBC,6/24/18,1
-74.350267,44.898525,Westville_Franklin,NY,Field Corn,WBC,6/24/18,
-74.074872,44.928985,Chateaugay_Franklin,NY,Field Corn,WBC,6/24/18,
-74.320377,44.843661,Malone_Franklin,NY,Field Corn,WBC,6/24/18,
-74.567352,44.934243,Bombay _Franklin,NY,Field Corn,WBC,6/24/18,
-74.417078,44.80492,WestBangor_Franklin,NY,Field Corn,WBC,6/24/18,
-76.536062,43.002916,Auburn_Seneca,NY,Field Corn,WBC,6/24/18,0
-76.654991,42.732757,Cayuga,NY,Field Corn,WBC,6/24/18,0
-78.121817,42.769511,Cortland,NY,Field Corn,WBC,6/24/18,0
-77.342791,42.887025,Ontario,NY,Field Corn,WBC,6/24/18,
-78.275019,43.218138,Orleans,NY,Field Corn,WBC,6/24/18,
-77.964667,43.306867,Monroe ,NY,Field Corn,WBC,6/24/18,
-78.520186,43.366587,Niagara,NY,Field Corn,WBC,6/24/18,
-77.289767,43.171933,Wayne,NY,Field Corn,WBC,6/24/18,
,,Wyoming,NY,Field Corn,WBC,6/24/18,
-73.45367,44.255007,Essex_1,NY,Field Corn,WBC,6/24/18,
-73.453987,44.323634,Essex_2,NY,Field Corn,WBC,6/24/18,
-73.726077,42.376038,Kinderkook_Columbia,NY,Field Corn,WBC,6/24/18,1
-73.612225,43.15819,Gansevoort_Saratoga,NY,Field Corn,WBC,6/24/18,0
-73.664191,43.193367,Wilton_Saratoga,NY,Field Corn,WBC,6/24/18,0
-76.1714,43.7767,Ellisburg_Jefferson,NY,Field Corn,WBC,6/24/18,0
-73.54191408,44.60653056,Peru_Clinton,NY,Field Corn,WBC,7/1/18,0
