,id,container_number,project,seed_type,number_seeds,scm_seeds,other_seeds,total_scm_maggots,total_scm_pupae,number_wireworm,phorid_seeds,total_phorid_maggots,total_phorid_pupae,notes,container_type,collection_date,record_id,field_id_x,previous_crop,cover_crop,manure,ny_soils_0,ny_soils_01,muid,hsg,hsgint,muserial,hsga,hsgb,hsgc,hsgd,hsgw,one_week,two_weeks,rain_inches_one_week,min_temp_f_one_week,ave_temp_f_one_week,max_temp_f_one_week,rain_inches_two_weeks,min_temp_f_two_weeks,ave_temp_f_two_weeks,max_temp_f_two_weeks,week,last_week,field_id_y,planting_date,start_week
0,3,3011,R,Bean,8.0,1.0,2.0,1.0,2,0.0,1.0,2.0,3.0,,deli cup,2023-04-17,GAB_ALL,GAB_ALL,Silage Corn,No,Yes,1205.0,5295.0,NY138,C,3.0,6805.0,0.0,11.0,63.0,26.0,0.0,2023-04-10,2023-04-03,0.01,48.5,62.6875,76.9,0.036,42.3,54.34666666666667,66.4,16,15,GAB_ALL,2023-05-09,2023-05-02
1,9,3068,R,Bean,8.0,0.0,0.0,0.0,5,1.0,2.0,7.0,9.0,,deli cup,2023-04-18,SMI_JOH_2,SMI_JOH_2,Wheat,Yes,No,1477.0,5478.0,NY142,D,4.0,6809.0,0.0,34.0,31.0,35.0,0.0,2023-04-11,2023-04-04,0.04750000000000001,46.8125,61.1,75.3875,0.118,40.88666666666667,53.46666666666667,66.04666666666667,16,15,,,
2,15,3010,R,Bean,10.0,0.0,1.0,0.0,0,0.0,0.0,0.0,19.0,,deli cup,2023-04-17,GAB_STE,GAB_STE,Silage Corn,No,Yes,1376.0,5311.0,NY084,A,1.0,6752.0,62.0,23.0,13.0,2.0,0.0,2023-04-10,2023-04-03,0.0025,47.025,61.65,76.2875,0.03933333333333333,40.57333333333334,53.08,65.6,16,15,GAB_STE,2023-05-23,2023-05-16
3,21,3003,R,Bean,5.0,0.0,1.0,0.0,17,0.0,0.0,0.0,0.0,,deli cup,2023-04-18,DIP_CUR,DIP_CUR,Silage Corn,Yes,No,2085.0,5669.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-11,2023-04-04,0.09125,43.3125,57.0125,70.75,0.11999999999999998,38.53333333333333,50.919999999999995,63.31333333333334,16,15,DIP_CUR,2023-05-19,2023-05-12
4,30,3042,R,Bean,10.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,,deli cup,2023-04-17,SMI_MCC,SMI_MCC,Soybean,No,No,1401.0,3769.0,NY142,D,4.0,6809.0,0.0,34.0,31.0,35.0,0.0,2023-04-10,2023-04-03,0.00875,41.3875,56.0375,70.7125,0.14,35.20666666666667,47.86666666666667,60.54666666666667,16,15,SMI_MCC,2023-05-15,2023-05-08
5,33,3075,R,Bean,10.0,1.0,0.0,1.0,0,0.0,0.0,0.0,14.0,,deli cup,2023-04-20,STA_HEM_2,STA_HEM_2,Grain Corn,Yes,Yes,1686.0,5631.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-04-13,2023-04-06,0.04875,45.75,57.025,68.325,0.11999999999999998,41.26,52.36,63.473333333333336,16,15,STA_HEM_2,2023-05-15,2023-05-08
6,42,3007,R,Bean,10.0,0.0,0.0,0.0,0,0.0,1.0,1.0,8.0,,deli cup,2023-04-18,DIP_PAT,DIP_PAT,Silage Corn,Yes,Yes,1577.0,5558.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-11,2023-04-04,0.05375,47.4125,61.6875,75.95,0.17666666666666667,40.986666666666665,53.88,66.76666666666667,16,15,DIP_PAT,2023-05-11,2023-05-04
7,45,3002,R,Bean,11.0,1.0,1.0,1.0,0,2.0,1.0,10.0,0.0,,deli cup,2023-04-18,POV_DUN,POV_DUN,Silage Corn,No,No,2404.0,4346.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-11,2023-04-04,0.08125,43.675,58.3125,72.95,0.09466666666666666,38.46,51.79333333333333,65.14,16,15,POV_DUN,2023-05-19,2023-05-12
8,48,3065,R,Bean,10.0,0.0,2.0,0.0,0,0.0,1.0,1.0,2.0,,deli cup,2023-04-18,SMI_JOH,SMI_JOH,Wheat,No,Yes,1483.0,5475.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-11,2023-04-04,0.04625,45.4125,59.6625,73.9125,0.13066666666666665,39.88,52.42666666666666,64.98666666666666,16,15,SMI_JOH,2023-05-13,2023-05-06
9,57,3039,R,Bean,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-04-17,SMI_CRO,SMI_CRO,Grain Corn,No,No,1779.0,5454.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-10,2023-04-03,0.02125,43.0625,58.4875,73.9,0.07933333333333333,37.45333333333333,50.86666666666667,64.28,16,15,SMI_CRO,2023-05-09,2023-05-02
10,63,3006,R,Bean,10.0,0.0,1.0,0.0,32,0.0,0.0,0.0,10.0,,deli cup,2023-04-18,DIP_FLE,DIP_FLE,Silage Corn,Yes,No,2190.0,4201.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-11,2023-04-04,0.07,46.4125,60.1875,73.96249999999999,0.10733333333333332,40.526666666666664,53.18666666666666,65.85333333333332,16,15,DIP_FLE,2023-05-23,2023-05-16
11,69,3044,R,Bean,10.0,0.0,2.0,0.0,0,0.0,0.0,10.0,10.0,,deli cup,2023-04-17,SMI_COB,SMI_COB,Silage Corn,Yes,No,2029.0,3921.0,NY099,A,1.0,6767.0,54.0,28.0,6.0,12.0,0.0,2023-04-10,2023-04-03,0.02375,41.9875,57.6,73.225,0.042,36.64666666666667,50.24,63.84,16,15,SMI_COB,2023-05-13,2023-05-06
12,75,3037,R,Bean,10.0,0.0,6.0,0.0,0,0.0,0.0,0.0,3.0,,deli cup,2023-04-18,SMI_DUR,SMI_DUR,Silage Corn,Yes,Yes,1488.0,5493.0,NY142,D,4.0,6809.0,0.0,34.0,31.0,35.0,0.0,2023-04-11,2023-04-04,0.06375,47.9625,61.9625,76.025,0.13933333333333336,41.919999999999995,54.28666666666666,66.69333333333333,16,15,,,
13,78,3030,R,Bean,8.0,0.0,0.0,0.0,0,1.0,8.0,10.0,10.0,,deli cup,2023-04-18,SMI_HOF,SMI_HOF,Silage Corn,Yes,No,2224.0,4108.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-11,2023-04-04,0.0575,43.0375,58.7125,74.4,0.044000000000000004,37.46,52.093333333333334,66.72666666666666,16,15,SMI_HOF,2023-05-18,2023-05-11
14,84,3025,R,Bean,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,,deli cup,2023-04-17,SMI_DOU,SMI_DOU,Soybean,No,Yes,1349.0,3760.0,NY007,C,3.0,6681.0,0.0,40.0,48.0,12.0,0.0,2023-04-10,2023-04-03,0.01375,43.775,58.8125,73.825,0.07666666666666666,38.04666666666667,50.84666666666667,63.63333333333333,16,15,SMI_DOU,2023-05-10,2023-05-03
15,90,3036,R,Bean,9.0,0.0,1.0,0.0,0,0.0,2.0,2.0,10.0,,deli cup,2023-04-17,SMI_KEL,SMI_KEL,Silage Corn,Yes,Yes,1659.0,5444.0,NY007,C,3.0,6681.0,0.0,40.0,48.0,12.0,0.0,2023-04-10,2023-04-03,0.00625,44.4375,59.475,74.55,0.043333333333333335,38.593333333333334,51.61333333333334,64.67333333333333,16,15,,,
16,96,3032,R,Bean,6.0,0.0,4.0,0.0,8,0.0,1.0,1.0,0.0,,deli cup,2023-04-17,SMI_HOL,SMI_HOL,Grain Corn,No,No,1779.0,5454.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-10,2023-04-03,0.00625,48.3875,62.362500000000004,76.35,0.07866666666666668,41.626666666666665,53.70666666666667,65.78,16,15,SMI_HOL,2023-05-24,2023-05-17
17,102,3033,R,Bean,10.0,0.0,0.0,0.0,0,0.0,8.0,10.0,10.0,,deli cup,2023-04-17,SMI_CAN,SMI_CAN,Silage Corn,No,Yes,1511.0,5436.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-04-10,2023-04-03,0.02375,39.5875,55.4625,71.3,0.04933333333333333,34.45333333333333,48.18666666666666,61.906666666666666,16,15,,,
18,111,3028,R,Bean,10.0,0.0,0.0,0.0,0,0.0,0.0,2.0,5.0,,deli cup,2023-04-18,SMI_LAT,SMI_LAT,Silage Corn,Yes,Yes,2103.0,4062.0,NY125,B,2.0,6792.0,15.0,56.0,29.0,0.0,0.0,2023-04-11,2023-04-04,0.058750000000000004,41.4375,58.2875,75.1125,0.05466666666666666,36.38,51.58,66.75333333333333,16,15,SMI_LAT,2023-05-17,2023-05-10
19,123,3150,R,Bean,8.0,0.0,2.0,0.0,0,0.0,1.0,1.0,0.0,,deli cup,2023-04-27,MIL_MCC,MIL_MCC,Soybean,No,Yes,1596.0,5481.0,NY012,B,2.0,6685.0,0.0,88.0,9.0,3.0,0.0,2023-04-20,2023-04-13,0.19249999999999998,35.8625,46.0875,56.3,0.128,39.20666666666667,51.04,62.84,17,16,,,
20,126,3159,R,Bean,9.0,1.0,3.0,2.0,2,0.0,0.0,0.0,1.0,,deli cup,2023-04-24,LET_TABLEROCK,,,,,,,,,,,,,,,,2023-04-17,2023-04-10,,,,,,,,,17,16,,,
21,129,3151,R,Bean,4.0,0.0,2.0,1.0,0,2.0,0.0,0.0,0.0,,deli cup,2023-04-27,MIL_YOD,MIL_YOD,Soybean,Yes,Yes,1559.0,5483.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-04-20,2023-04-13,0.195,35.4625,45.575,55.7,0.13066666666666668,39.193333333333335,50.75333333333333,62.32666666666667,17,16,,,
22,180,3077,R,Bean,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,,deli cup,2023-04-20,STA_SWE,STA_SWE,Silage Corn,Yes,,1807.0,5694.0,NY093,B,2.0,6761.0,5.0,59.0,2.0,34.0,0.0,2023-04-13,2023-04-06,0.1,44.225,55.599999999999994,66.975,0.10066666666666667,39.54666666666667,50.93333333333333,62.333333333333336,16,15,,,
23,183,3079,R,Bean,11.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,,deli cup,2023-04-20,STA_WIL,STA_WIL,Silage Corn,Yes,No,1515.0,5592.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-04-13,2023-04-06,0.053750000000000006,45.5,57.225,68.9375,0.08333333333333333,40.39333333333333,52.233333333333334,64.08,16,15,STA_WIL,2023-05-30,2023-05-23
24,186,3082,R,Bean,10.0,0.0,0.0,0.0,15,0.0,0.0,0.0,4.0,,deli cup,2023-04-20,STA_HEM,STA_HEM,Silage Corn,Yes,Yes,1686.0,5631.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-04-13,2023-04-06,0.049999999999999996,45.475,56.9125,68.35,0.1,40.93333333333333,52.21333333333334,63.5,16,15,STA_HEM,2023-05-15,2023-05-08
25,192,3074,R,Bean,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,,deli cup,2023-04-20,STA_COL,STA_COL,Silage Corn,Yes,Yes,1264.0,5575.0,NY138,C,3.0,6805.0,0.0,11.0,63.0,26.0,0.0,2023-04-13,2023-04-06,0.034999999999999996,46.2125,57.225,68.225,0.052000000000000005,41.72,52.66,63.61333333333334,16,15,STA_COL,2023-05-30,2023-05-23
26,207,3219,R,Bean,8.0,4.0,0.0,23.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-01,SMI_KEL,SMI_KEL,Silage Corn,Yes,Yes,1659.0,5444.0,NY007,C,3.0,6681.0,0.0,40.0,48.0,12.0,0.0,2023-04-24,2023-04-17,0.2825,37.2625,46.0375,54.775,0.27133333333333337,39.093333333333334,48.54666666666667,57.986666666666665,18,17,,,
27,210,3220,R,Bean,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-01,SMI_KEL,SMI_KEL,Silage Corn,Yes,Yes,1659.0,5444.0,NY007,C,3.0,6681.0,0.0,40.0,48.0,12.0,0.0,2023-04-24,2023-04-17,0.2825,37.2625,46.0375,54.775,0.27133333333333337,39.093333333333334,48.54666666666667,57.986666666666665,18,17,,,
28,216,3207,R,Bean,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-01,SMI_DOU,SMI_DOU,Soybean,No,Yes,1349.0,3760.0,NY007,C,3.0,6681.0,0.0,40.0,48.0,12.0,0.0,2023-04-24,2023-04-17,0.27375,36.35,45.075,53.7875,0.29333333333333333,38.28666666666666,47.7,57.1,18,17,SMI_DOU,2023-05-10,2023-05-03
29,222,3172,R,Bean,8.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,,deli cup,2023-04-19,WIS_COO,WIS_COO,Silage Corn Strip Cropped With Alfalfa,No,Yes,,,,,,,,,,,,2023-04-12,2023-04-05,0.02875,48.4,60.112500000000004,71.8625,0.017333333333333333,41.61333333333334,53.75333333333334,65.88000000000001,16,15,,,
30,231,3175,R,Bean,10.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,,deli cup,2023-04-19,WIS_COO_2,WIS_COO_2,Silage Corn,No,No,2914.0,4436.0,NY149,A,1.0,6816.0,71.0,12.0,11.0,6.0,0.0,2023-04-12,2023-04-05,0.026250000000000002,48.575,60.5,72.4375,0.016,41.86,54.18666666666666,66.52,16,15,,,
31,237,3161,R,Bean,10.0,0.0,7.0,0.0,0,0.0,0.0,0.0,10.0,,deli cup,2023-04-24,LET_NOBLE,,,,,,,,,,,,,,,,2023-04-17,2023-04-10,,,,,,,,,17,16,,,
32,342,3028,R,Bean,10.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-04-18,SMI_LAT,SMI_LAT,Silage Corn,Yes,Yes,2103.0,4062.0,NY125,B,2.0,6792.0,15.0,56.0,29.0,0.0,0.0,2023-04-11,2023-04-04,0.058750000000000004,41.4375,58.2875,75.1125,0.05466666666666666,36.38,51.58,66.75333333333333,16,15,SMI_LAT,2023-05-17,2023-05-10
33,348,3210,R,Bean,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-01,SMI_CRO,SMI_CRO,Grain Corn,No,No,1779.0,5454.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-24,2023-04-17,0.22874999999999998,36.6625,45.4375,54.2375,0.23466666666666663,38.31333333333334,47.89333333333333,57.486666666666665,18,17,SMI_CRO,2023-05-09,2023-05-02
34,390,3222,R,Bean,7.0,0.0,1.0,0.0,0,11.0,3.0,5.0,6.0,,deli cup,2023-05-01,SMI_HOL,SMI_HOL,Grain Corn,No,No,1779.0,5454.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-24,2023-04-17,0.19874999999999998,39.2125,48.1125,57.0125,0.21,41.2,50.440000000000005,59.67333333333333,18,17,SMI_HOL,2023-05-24,2023-05-17
35,393,3212,R,Bean,9.0,0.0,0.0,0.0,0,10.0,1.0,2.0,3.0,,deli cup,2023-05-01,SMI_JOH,SMI_JOH,Wheat,No,Yes,1483.0,5475.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-24,2023-04-17,0.2975,37.8375,45.625,53.4125,0.26666666666666666,38.89333333333333,48.07333333333334,57.26,18,17,SMI_JOH,2023-05-13,2023-05-06
36,396,3218,R,Bean,9.0,0.0,1.0,0.0,0,3.0,0.0,0.0,0.0,,deli cup,2023-05-01,SMI_MCC,SMI_MCC,Soybean,No,No,1401.0,3769.0,NY142,D,4.0,6809.0,0.0,34.0,31.0,35.0,0.0,2023-04-24,2023-04-17,0.27625,34.0125,42.55,51.125,0.2846666666666667,35.68666666666666,45.05333333333333,54.440000000000005,18,17,SMI_MCC,2023-05-15,2023-05-08
37,453,3176,R,Bean,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-04-21,WIS_KEN,WIS_KEN,Grain Corn,Yes,No,2904.0,5799.0,NY062,C,3.0,6734.0,6.0,0.0,90.0,4.0,0.0,2023-04-14,2023-04-07,0.135,48.15,59.575,71.0125,0.07200000000000001,43.513333333333335,56.2,68.9,16,15,,,
38,570,3190,R,Bean,6.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,,deli cup,2023-04-21,WIS_MEG,WIS_MEG,Sweet Corn,No,No,2850.0,5739.0,NY149,A,1.0,6816.0,71.0,12.0,11.0,6.0,0.0,2023-04-14,2023-04-07,0.0425,46.8125,58.6375,70.4875,0.02333333333333333,42.00666666666667,55.21333333333334,68.46666666666667,16,15,,,
39,576,3189,R,Bean,5.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,,deli cup,2023-04-21,WIS_HIG,WIS_HIG,,Yes,No,2962.0,5872.0,NY156,C,3.0,6823.0,0.0,0.0,97.0,3.0,0.0,2023-04-14,2023-04-07,0.12625,47.4375,59.25,71.10000000000001,0.06733333333333333,42.7,55.84,69.02,16,15,,,
40,585,3215,R,Bean,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup ,2023-05-01,SMI_CAN,SMI_CAN,Silage Corn,No,Yes,1511.0,5436.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-04-24,2023-04-17,0.26125,34.55,43.025,51.5,0.22866666666666668,36.00666666666667,45.593333333333334,55.15333333333333,18,17,,,
41,651,3337,R,Bean,8.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-04-27,WIS_COO,WIS_COO,Silage Corn Strip Cropped With Alfalfa,No,Yes,,,,,,,,,,,,2023-04-20,2023-04-13,0.215,37.675000000000004,47.8,57.925,0.13,42.88666666666666,53.67333333333333,64.47333333333333,17,16,,,
42,876,3338,R,Bean,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-04-27,WIS_COO_2,WIS_COO_2,Silage Corn,No,No,2914.0,4436.0,NY149,A,1.0,6816.0,71.0,12.0,11.0,6.0,0.0,2023-04-20,2023-04-13,0.20625000000000002,38.175,48.3875,58.65,0.12400000000000001,43.26,54.17333333333333,65.11999999999999,17,16,,,
43,1038,3241,R,Bean,10.0,0.0,0.0,0.0,0,2.0,3.0,4.0,0.0,,deli cup,2023-05-02,DIP_CUR,DIP_CUR,Silage Corn,Yes,No,2085.0,5669.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-25,2023-04-18,0.4,36.775,43.8125,50.8375,0.24866666666666667,37.46,45.720000000000006,54.0,18,17,DIP_CUR,2023-05-19,2023-05-12
44,1050,3238,R,Bean,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-02,DIP_PAT,DIP_PAT,Silage Corn,Yes,Yes,1577.0,5558.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-25,2023-04-18,0.24500000000000002,38.2375,46.575,54.9375,0.19200000000000003,38.49333333333333,47.833333333333336,57.2,18,17,DIP_PAT,2023-05-11,2023-05-04
45,1203,3679,R,Bean,5.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,,deli cup,2023-05-05,WIS_MEG,WIS_MEG,Sweet Corn,No,No,2850.0,5739.0,NY149,A,1.0,6816.0,71.0,12.0,11.0,6.0,0.0,2023-04-28,2023-04-21,0.43125,41.675,49.3,56.925,0.36800000000000005,41.026666666666664,50.333333333333336,59.63333333333333,18,17,,,
46,1209,3669,R,Bean,8.0,1.0,1.0,2.0,1,0.0,0.0,0.0,0.0,,deli cup,2023-05-09,ZUE_REE,ZUE_REE,,,,1847.0,4084.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-05-02,2023-04-25,0.095,40.1125,48.725,57.325,0.166,39.306666666666665,47.486666666666665,55.63333333333333,19,18,,,
47,1257,3667,R,Bean,10.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,,deli cup,2023-05-11,MIL_MCC,MIL_MCC,Soybean,No,Yes,1596.0,5481.0,NY012,B,2.0,6685.0,0.0,88.0,9.0,3.0,0.0,2023-05-04,2023-04-27,0.061250000000000006,37.6875,48.95,60.2,0.18466666666666667,37.906666666666666,47.45333333333333,57.0,19,18,,,
48,1263,3652,R,Bean,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-11,DIP_PAT,DIP_PAT,Silage Corn,Yes,Yes,1577.0,5558.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-05-04,2023-04-27,0.04625,39.9625,50.825,61.7,0.162,39.82,49.4,59.0,19,18,DIP_PAT,2023-05-11,2023-05-04
49,1269,3680,R,Bean,6.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,,deli cup,2023-05-05,WIS_KEN,WIS_KEN,Grain Corn,Yes,No,2904.0,5799.0,NY062,C,3.0,6734.0,6.0,0.0,90.0,4.0,0.0,2023-04-28,2023-04-21,0.38625,43.6,50.125,56.6625,0.35133333333333333,42.89333333333333,51.3,59.7,18,17,,,
50,1281,3677,R,Bean,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,,deli cup,2023-05-08,LET_NOB,LET_NOB,Silage Corn,Yes,Yes,1538.0,5653.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-05-01,2023-04-24,0.15375,37.8125,46.525,55.2375,0.11333333333333333,36.833333333333336,45.44666666666667,54.04666666666667,19,18,,,
51,1287,3683,R,Bean,9.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-03,WIS_COO,WIS_COO,Silage Corn Strip Cropped With Alfalfa,No,Yes,,,,,,,,,,,,2023-04-26,2023-04-19,0.26125,38.487500000000004,46.525,54.6125,0.24666666666666667,38.27333333333333,47.10666666666667,55.96,18,17,,,
52,1293,3684,R,Bean,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-03,WIS_COO_2,WIS_COO_2,Silage Corn,No,No,2914.0,4436.0,NY149,A,1.0,6816.0,71.0,12.0,11.0,6.0,0.0,2023-04-26,2023-04-19,0.24625,38.449999999999996,46.725,55.0125,0.23600000000000002,38.586666666666666,47.55333333333333,56.54,18,17,,,
53,1299,3668,R,Bean,10.0,1.0,6.0,1.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-11,MIL_YOD,MIL_YOD,Soybean,Yes,Yes,1559.0,5483.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-05-04,2023-04-27,0.05,37.55,48.5625,59.575,0.18933333333333335,37.50666666666667,46.986666666666665,56.46666666666667,19,18,,,
54,1302,3687,R,Bean,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-05,WIS_HIG,WIS_HIG,,Yes,No,2962.0,5872.0,NY156,C,3.0,6823.0,0.0,0.0,97.0,3.0,0.0,2023-04-28,2023-04-21,0.455,42.6625,49.6625,56.7,0.388,41.973333333333336,50.86,59.766666666666666,18,17,,,
55,1311,3671,R,Bean,9.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-11,MIL_CHA,MIL_CHA,Silage Corn,No,Yes,1559.0,5483.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-05-04,2023-04-27,0.0475,38.85,49.4875,60.15,0.18333333333333332,38.79333333333333,47.833333333333336,56.88,19,18,,,
56,1314,3654,R,Bean,10.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-05-12,STA_SWE,STA_SWE,Silage Corn,Yes,,1807.0,5694.0,NY093,B,2.0,6761.0,5.0,59.0,2.0,34.0,0.0,2023-05-05,2023-04-28,0.045,41.8625,52.5125,63.1375,0.10066666666666667,39.67333333333333,49.07333333333334,58.45333333333333,19,18,,,
