,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
0,POV_DUN,471,4,41,22,3,0,2,0,16,0,1,8,0,0,1019,2979,0,0,0,0,0,0,0,0,0,0,0,0,59,0,18,0,0,2,5,1,10,155,3816,1162,276,72,248,19956,709,11288,85,13152,1378,245,6,0,0,0,0,0,0,0,0,0,6,1,0,171723.0,4656,33909,13152,5574,0.0,0.027113432679373176,0.1974633566848937,0.07658845932111598,0.032459251236002164,0.0,0.0027427892594469,0.00023875660220238409,3000
1,DIP_FLE,12381,3,1117,3,83,0,3,1,508,0,78,28,0,0,8951,4078,0,0,59,0,0,0,0,0,0,0,0,0,88,0,35,0,0,1,18,2,0,13,1429,1756,282,21,22,16476,435,1938,93,6455,1195,43,11,0,0,0,0,0,0,0,0,0,0,0,0,172793.0,27413,20202,6455,3510,0.0,0.1586464729473995,0.11691445834032628,0.03735683737188428,0.020313322877662868,0.0,0.07165220813343133,0.006464382237706389,3000
2,DIP_CUR,6830,8,511,0,4,0,2,0,16,0,3,13,0,0,1818,3750,0,0,3,0,0,0,0,0,0,0,0,0,12,0,43,0,0,0,1,2,4,24,2172,734,216,124,16,20207,1082,8496,74,9929,856,106,236,0,0,0,0,0,0,0,0,0,10,0,0,171857.0,13223,30837,9929,3262,0.0,0.07694187609466009,0.1794340643674683,0.057774777867645774,0.018980896908476232,0.0,0.03974234392547292,0.0029734023054050754,3000
3,GAB_STE,6508,53,351,0,177,0,5,0,15,0,303,52,0,0,4766,2924,0,0,4,0,0,0,4,0,0,0,0,0,9,112,36,0,0,9,2,0,0,723,2234,2366,1926,861,705,15414,2603,3507,125,10521,1943,191,0,0,0,0,0,0,0,0,0,45,6,0,0,175449.0,15345,24488,10521,8092,0.0,0.08746131354410683,0.1395733233019282,0.059966144007660344,0.046121664985266375,0.0,0.037093400361358574,0.0020005813655250243,3000
4,SMI_CRO,6398,1,2020,0,0,0,11,0,40,0,185,379,0,0,2356,18133,0,0,7,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,3,0,0,49,1972,987,212,17,7,8635,470,2112,16,12884,1132,16,0,0,0,0,0,0,0,0,0,4,1,0,0,174148.0,29543,12388,12884,3195,0.0,0.16964306222293682,0.07113489675448469,0.07398304890093484,0.018346463927234307,0.0,0.036738865792314584,0.011599329306107449,3000
5,SMI_CAN,6007,0,159,0,0,0,0,0,34,0,4,51,0,0,6606,8666,0,0,2,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,289,2024,815,275,42,36,14143,873,1440,24,11617,4795,187,4,0,0,0,0,4,0,0,0,0,0,0,0,174089.0,21539,21498,11617,3192,0.0,0.12372407216998202,0.12348856044896576,0.06673023568404667,0.0183354491093636,0.0,0.03450533922304109,0.0009133259424776982,3000
6,SMI_KEL,11689,0,5006,0,0,0,0,0,7,0,1,38,0,0,2231,9345,0,0,5,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,1741,1659,1527,784,62,10,9770,1302,1964,27,8906,2120,65,0,0,0,0,0,0,0,0,0,0,0,0,0,173099.0,28323,15258,8906,4042,0.0,0.16362312896088366,0.08814608980987758,0.05145032611395791,0.02335079925360632,0.0,0.06752783089445924,0.028919866665896396,3000
7,SMI_COB,2622,11,107,0,0,0,1,0,2,0,0,19,0,0,6144,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,149,3516,3193,2807,786,15,15952,1404,7655,49,10427,1091,60,2,0,0,0,0,6,0,0,0,2,3,0,0,173030.0,10607,26226,10427,10317,0.0,0.06130150840894642,0.15156909206495983,0.06026122637692886,0.059625498468473676,0.0,0.015153441599722591,0.0006183898745882217,3000
8,SMI_DOU,4779,0,950,0,0,0,0,0,2,0,3,32,0,0,2456,9785,0,0,4,0,0,0,0,0,0,0,0,0,5,0,13,0,0,27,0,0,0,917,4694,2935,3002,760,11,16878,722,953,22,8675,784,49,0,0,0,0,0,0,0,0,0,1,0,0,0,174466.0,18044,19419,8675,11402,0.0,0.10342416287414166,0.1113053546249699,0.049723155227952724,0.06535370788577717,0.0,0.027392156637969577,0.0054451870278449666,3000
9,SMI_MCC,7282,0,1438,0,0,0,31,0,6,0,0,251,0,0,2327,10698,2,0,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,40,2137,777,193,32,44,17244,1016,1093,29,12493,1363,21,0,0,0,0,0,0,0,0,0,2,0,0,0,175681.0,22042,20810,12493,3183,0.0,0.12546604356760263,0.11845333302975279,0.07111184476408945,0.01811806626783773,0.0,0.04145012835764824,0.008185290384276046,3000
10,SMI_HOL,10584,0,1312,0,0,0,0,0,6,0,0,32,0,0,4619,8680,0,0,5,0,0,0,0,0,0,0,0,0,4,0,16,0,0,10,0,0,0,1282,2233,918,300,59,105,8443,1703,7478,32,7086,3183,84,0,0,0,0,0,0,0,0,0,0,0,0,0,173339.0,25252,21028,7086,3615,0.0,0.14567985277404394,0.12131141866515903,0.04087943278777425,0.020855087429834024,0.0,0.06105954228419456,0.007568983321699098,3000
11,DIP_PAT,18446,8,5322,0,66,0,0,0,1024,0,4,50,0,0,11927,3413,2,0,11,0,0,0,0,0,0,0,0,0,8,0,335,0,0,3,14,2,0,68,1330,1479,411,115,202,7016,58,128,61,4885,1584,76,7,0,0,0,0,0,0,115,1,0,4,0,0,174335.0,40427,9125,4885,3537,0.0,0.23189262052944046,0.05234175581495397,0.02802076461984111,0.020288524966300514,0.0,0.105807783864399,0.030527432816129865,3000
12,MIL_YOD,8483,8,2109,0,2,0,0,3,579,0,16,159,0,0,11580,3308,2,0,36,0,0,0,0,0,0,0,0,0,47,0,48,0,0,2,2,4,0,17,2592,553,214,32,16,14368,288,525,49,12006,1217,62,22,0,0,0,0,0,0,0,2,0,0,1,0,175019.0,26365,16525,12006,3407,0.0,0.15064078757163507,0.09441832029665351,0.06859826647392568,0.01946645792742502,0.0,0.04846902336317771,0.012050120272656112,3000
13,MIL_CHA,13382,0,3576,2,5,0,0,10,1158,0,2,51,1,0,7612,1375,0,0,54,0,0,0,0,0,0,0,0,0,5,0,110,0,0,0,0,0,0,62,2667,574,211,29,20,16564,1051,1342,30,7866,633,14,3,0,0,0,0,0,2,0,0,0,0,4,0,175106.0,27242,19654,7866,3501,0.0,0.15557433782965746,0.11224058570237457,0.044921361917924,0.019993603874224754,0.0,0.0764222813610042,0.020421915868102748,3000
14,MIL_MCC,8318,0,3831,0,0,0,0,0,766,0,5,76,0,0,4219,1887,0,0,562,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,4,0,126,2920,1709,997,327,18,17070,1400,1921,38,8900,3058,46,2,0,0,0,0,0,0,0,0,0,1,0,0,174532.0,19674,23551,8900,5971,0.0,0.11272431416588362,0.1349380056379346,0.05099351408337726,0.034211491302454565,0.0,0.047658882038823826,0.021950129489148124,3000
15,KAT_SAU,4447,0,118,0,4,0,37,0,216,0,2,176,0,0,499,7470,0,0,321,3,0,0,0,0,1,0,0,0,13,0,13,0,0,0,5,3,0,2,3359,622,226,34,4,20695,2965,5977,22,9226,147,12,4,0,0,0,0,0,0,0,0,0,0,0,0,169873.0,13319,29822,9226,4245,0.0,0.07840563244306041,0.17555467908378614,0.05431116186798373,0.024989256679990347,0.0,0.026178380319415093,0.0006946365814461392,3000
16,KAT_SAU_2,5122,0,164,0,4,0,42,0,218,0,4,323,0,0,527,9075,0,0,559,3,0,0,0,0,1,0,0,0,107,0,18,0,0,0,6,6,0,5,3038,283,122,15,6,19449,2181,4846,23,10357,102,18,4,0,0,0,0,0,0,0,0,0,0,0,0,169883.0,16165,26625,10357,3464,0.0,0.09515372344495918,0.15672551108704225,0.0609654880123379,0.020390504052789273,0.0,0.030150162170434945,0.0009653702842544574,3000
17,KAT_TEE,4017,2,351,0,2,3,0,0,25,0,1,1,0,0,1341,3888,0,0,1,0,0,0,0,0,0,0,0,0,12,0,105,0,0,6,6,2,0,65,2107,327,174,9,8,25272,3065,9404,5,6104,746,69,0,0,0,0,0,0,2,0,0,0,5,0,0,171230.0,9665,38569,6104,2625,0.0,0.05644454826841091,0.22524674414530163,0.03564795888570928,0.015330257548326813,0.0,0.023459674122525257,0.0020498744378905564,3000
18,KAT_TEE_2,4124,4,161,0,2,0,0,0,11,0,0,3,0,0,1565,4816,0,0,1,2,0,0,0,0,0,0,0,0,14,0,230,0,0,3,5,4,0,100,2118,397,195,15,6,24763,2672,9897,6,5216,698,105,2,2,0,0,0,0,2,0,0,0,0,2,0,171117.0,10723,38147,5216,2731,0.0,0.06266472647369928,0.22292934074346793,0.030482067824938494,0.01595984034315702,0.0,0.0241004692695641,0.0009408767100872503,3000
19,KAT_HAB_2,9113,0,1851,0,3,0,0,0,20,0,0,130,0,0,2201,7164,2,0,42,17,0,0,0,0,4,0,0,0,17,0,627,0,0,12,131,5,0,421,2642,358,138,28,22,12357,4607,8636,21,5787,1052,96,3,0,0,0,0,0,2,0,0,0,0,13,2,171565.0,20732,26791,5787,3188,0.0,0.12084049777052429,0.1561565587386705,0.033730656019584415,0.018581878588290152,0.0,0.053116894471483114,0.010788913822749395,3000
20,KAT_HAB,11234,0,3791,0,2,0,0,0,23,0,0,143,0,0,770,4266,3,39,180,78,0,0,0,0,45,0,0,0,37,0,244,0,0,10,541,8,1,63,5081,1849,554,122,196,11834,1717,7559,22,5956,995,63,14,2,0,0,0,0,0,0,1,0,4,0,0,172250.0,21192,22386,5956,7802,0.0,0.12303047895500725,0.1299622641509434,0.03457764876632801,0.045294629898403486,0.0,0.06521915820029027,0.022008708272859216,3000
21,KAT_BAR,3033,0,405,0,0,0,0,0,239,0,0,4,0,0,720,1338,1,0,329,0,0,0,0,0,0,0,0,0,25,0,14,0,0,2,34,16,0,778,2847,870,568,27,78,21804,1165,14691,20,7039,425,114,22,0,0,0,0,0,0,0,0,0,0,1,0,169134.0,6169,38297,7039,4390,0.0,0.036474038336466945,0.22642993129707806,0.0416178887745811,0.02595575106128868,0.0,0.017932526872184187,0.0023945510660186597,3000
22,SMI_LAT,10099,2,790,0,2,0,0,0,30,0,10,170,4,0,7697,2952,0,0,115,0,0,0,0,0,0,0,0,0,13,0,41,0,0,0,0,45,3,261,3197,1498,1018,338,24,12498,706,1955,25,11673,2547,62,0,0,0,0,0,0,0,0,0,0,0,3,0,173078.0,21935,17817,11673,6075,0.0,0.12673476698367211,0.10294202613850403,0.06744358035105559,0.035099781601358924,0.0,0.058349414714752884,0.0045644160436335065,3000
23,SMI_DUR,4160,4,448,0,16,0,1,0,261,0,18,11,0,0,2606,1771,0,0,7,0,0,4,0,0,0,0,0,0,5,0,129,0,0,30,2,56,0,1212,3440,1388,649,90,152,19187,1258,611,226,9791,10598,322,22,0,0,0,0,0,0,0,0,0,1,0,0,174262.0,9423,32354,9791,5719,0.0,0.054073751018581216,0.18566296725620043,0.05618551376662726,0.0328183998806395,0.0,0.023872100630085734,0.002570841606316925,3000
24,SMI_HOF,4692,3,200,0,0,0,0,1,14,0,8,239,0,0,1510,1480,0,0,10,0,0,1,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,792,2276,583,81,10,182,19572,1427,13730,23,9062,1080,161,0,0,0,0,0,0,0,0,0,0,1,0,0,170867.0,8164,36175,9062,3132,0.0,0.04777985216571953,0.21171437433793536,0.05303540180374209,0.01833004617626575,0.0,0.02745995423340961,0.0011705010329671616,3000
25,SMI_JOH,7993,4,1562,0,2,0,0,0,178,0,48,7,0,0,5374,4779,0,0,40,0,0,0,0,0,0,0,0,0,3,0,45,0,0,0,5,6,0,32,2983,1127,399,122,13,15817,636,1240,47,14784,1081,23,17,0,0,0,0,0,0,0,1,0,0,0,0,175065.0,20019,18857,14784,4644,0.0,0.11435181218404593,0.10771427755405136,0.08444863336475024,0.02652728986376489,0.0,0.045657327278439436,0.008922400251335219,3000
26,SMI_JOH_2,3243,4,1421,1,4,0,1,0,1012,0,7,153,4,0,3391,1993,0,0,190,0,1,0,0,0,0,0,0,0,0,0,66,0,0,3,2,7,0,291,4510,3662,1986,1146,61,19104,866,838,117,12509,1794,82,8,0,0,0,0,0,0,0,1,2,2,0,0,175176.0,11450,22862,12509,11365,0.0,0.06536283509156506,0.1305087454902498,0.07140818376946614,0.06487760880485911,0.0,0.018512809973969035,0.008111841804813445,3000
27,GAB_ALL,3001,3,314,0,2,0,0,0,0,0,5,9,0,0,1149,1066,0,0,0,0,0,0,0,0,0,0,0,0,5,49,12,0,0,0,0,0,0,4231,4602,4778,4446,1654,100,11091,756,11306,67,5126,4257,180,0,0,0,0,0,0,0,0,0,2,6,0,0,170535.0,5611,27757,5126,15580,0.0,0.03290233676371419,0.16276424194446887,0.03005834579411851,0.09135954496144487,0.0,0.017597560618054946,0.0018412642566042162,3000
28,KAT_JEF,3062,0,677,0,9,0,0,0,581,0,7,0,0,0,297,8952,0,0,11,4,0,0,0,0,0,0,0,0,131,0,81,0,2,0,26,0,0,53,1667,808,294,35,18,13832,1496,4828,9,11727,7770,580,0,1,0,0,0,0,0,0,0,0,0,0,0,170786.0,13760,28533,11727,2822,0.0,0.08056866487885424,0.16706872928694388,0.06866487885423864,0.01652360263721851,0.0,0.017928870047896197,0.0039640251542866515,3000
29,KAT_JEF_2,3272,0,60,0,0,0,0,0,12,0,0,6,0,0,386,8244,0,0,1,0,0,0,0,0,0,0,0,0,106,0,80,0,0,4,25,2,0,58,1881,686,284,47,7,14773,961,4578,6,8996,11843,692,0,0,0,0,0,0,0,0,2,0,0,0,0,170934.0,12120,32860,8996,2905,0.0,0.07090455965460353,0.19223793978962642,0.052628499888845985,0.016994863514572876,0.0,0.019141891022265902,0.0003510126715574432,3000
30,STA_WIL,12632,2,2041,0,14,0,0,0,3172,0,1,55,0,1,10063,1176,0,0,283,2,0,0,0,0,0,0,0,0,19,0,178,0,0,61,24,4,0,90,3603,1297,416,96,51,9236,86,932,15,7086,4946,40,75,0,0,0,0,0,0,2,674,0,2,7,0,174959.0,30310,15306,7086,5463,0.0,0.1732405877948548,0.08748335324275973,0.04050091735778097,0.031224458301659246,0.0,0.07219977251813282,0.011665590223995336,3000
31,STA_HEM_2,13785,3,4276,3,59,0,0,13,3202,0,221,22,0,16,8971,1220,0,0,374,16,0,0,4,0,3,0,34,1,81,0,533,0,0,72,163,16,9,106,2600,1098,500,208,596,7396,29,536,11,5918,4387,116,31,0,0,45,0,0,0,2,2,0,0,1422,0,174288.0,34066,13071,5918,5002,0.0,0.19545809235288716,0.07499655742219774,0.033955292389608004,0.02869962361149362,0.0,0.07909322500688516,0.02453410447076104,3000
32,STA_HEM,17528,22,5291,0,20,0,3,0,1136,0,34,16,0,1,7359,1046,0,0,344,4,25,0,3,0,0,0,0,0,27,0,398,0,0,91,323,33,4,927,2637,811,202,35,55,7839,255,858,9,5636,4093,146,0,0,0,0,0,0,0,0,286,0,2,699,0,173356.0,34297,13255,5636,3740,0.0,0.19784143611989202,0.07646115507972034,0.03251113315950991,0.021574101848219847,0.0,0.10110985486513302,0.03052100879115808,3000
33,STA_SWE,13150,12,1719,0,44,0,0,0,755,0,3,18,0,0,9171,1156,13,7,97,34,0,22,4,1,18,0,0,0,18,0,129,0,0,18,11,17,0,95,2309,620,165,22,5,19666,114,1106,153,4686,2210,348,14,2,0,0,0,0,15,2,18,0,5,5,0,173745.0,26349,23602,4686,3121,0.0,0.15165328498661831,0.13584275806498028,0.026970560303893637,0.01796310685199574,0.0,0.0756856312411868,0.009893809893809894,3000
34,STA_COL,6574,0,3025,0,572,0,1,0,2859,0,2,9,0,0,3505,365,1,6,1091,18,0,4,5,16,545,0,0,0,17,0,195,5,12,271,7,25,0,467,5440,2757,773,79,58,10859,224,1814,28,9918,6795,121,16,0,3,0,0,0,40,0,11,0,13,156,0,175536.0,19174,19899,9918,9107,0.0,0.10923115486282016,0.11336136177194421,0.05650123051681706,0.051881095615714155,0.0,0.03745100720080211,0.017232932276000364,3000
35,WIS_COO_2,4161,0,899,0,7,0,13,0,0,0,6,102,0,0,1322,1498,0,0,0,0,0,6,1,0,0,0,0,0,4,0,819,0,0,30,2,0,0,131,1494,1340,368,89,26,27580,849,1138,53,10309,3913,86,0,0,0,0,0,0,0,0,0,3,0,0,0,167858.0,8054,33645,10309,3317,0.0,0.04798103158622169,0.20043727436285433,0.06141500554039724,0.019760750157871536,0.0,0.024788809589057416,0.005355717332507238,3000
36,WIS_COO,6114,0,2009,2,6,0,16,0,457,0,6,94,0,0,2830,3042,0,0,0,0,0,0,0,0,0,0,0,0,20,0,649,0,0,64,0,0,3,269,1520,1112,265,67,10,19889,255,839,25,14225,2354,160,1,0,0,0,0,0,0,0,0,5,0,0,0,168052.0,14669,23532,14225,2974,0.0,0.0872884583343251,0.14002808654464094,0.08464641896555827,0.017696903339442554,0.0,0.03638159617261324,0.011954633089757931,3000
37,LET_NOB,22542,93,4656,0,40,0,0,0,1983,0,0,14,0,0,11490,550,0,2,457,4,0,0,0,3,229,0,0,0,8,0,48,0,0,3,1,5,0,35,2078,594,288,47,39,8348,6,316,29,2806,1287,24,4,0,0,0,0,0,0,0,52,0,2,10,0,174272.0,42148,10049,2806,3046,0.0,0.2418518178479618,0.05766273411678296,0.016101266984943078,0.017478424531766436,0.0,0.12934952258538376,0.026716856408373117,3000
38,LET_TAB,13171,0,232,0,12,0,0,0,831,0,0,19,0,0,15097,449,8,0,57,11,0,0,12,0,10,0,0,0,12,0,51,0,3,1,2,3,0,342,3113,681,187,52,33,13720,1268,4649,23,1821,1212,244,1,2,0,0,0,0,0,0,349,1,0,6,0,172733.0,30289,21149,1821,4066,0.0,0.17535155413267875,0.1224375191769957,0.010542282019069893,0.023539219489037994,0.0,0.07625062958438747,0.001343113359925434,3000
39,WIS_HIG,59,0,9,0,6,0,1,0,2,0,0,2,0,0,50,105,0,0,0,0,0,11,0,0,0,0,0,0,2,4,267,0,13,443,0,2,0,6995,2724,2548,2251,770,101,29747,600,913,24,3182,4722,526,0,0,0,0,0,0,0,0,0,0,0,0,0,161115.0,709,36633,3182,8394,0.0,0.004400583434192968,0.22737175309561494,0.01974986810663191,0.05209943208267387,0.0,0.00036619805728827236,5.586072060329578e-05,3000
40,WIS_MEG,1580,4,733,0,243,0,852,0,9,0,44,97,0,0,505,1834,1,0,0,4,0,2,2,0,42,0,4,0,7,20,246,0,0,115,0,0,9,299,3724,5481,3184,641,50,20888,415,747,22,11250,3390,57,0,0,0,0,0,0,0,0,0,28,2,0,0,169138.0,6137,25569,11250,13080,0.0,0.03628398112783644,0.15117241542409157,0.06651373434710119,0.07733330180089631,0.0,0.009341484468303988,0.0043337393134600145,3000
41,WIS_KEN,199,4,47,1,12,0,34,0,3,0,5,12,0,0,79,202,0,2,0,0,0,78,0,0,0,5,0,0,3,5,422,0,23,4658,2,0,30,9074,4592,4800,4151,3044,87,13628,47,369,43,7768,1776,718,0,0,0,3,3,0,6,0,0,0,0,0,0,158437.0,5416,16668,7768,16674,0.0,0.034183934308273954,0.1052026988645329,0.04902895157065584,0.10524056880652878,0.0,0.0012560197428630939,0.0002966478789676654,3000
42,ZUE_REE,5802,0,7526,0,21,0,0,0,3191,3,4,132,0,182,3737,616,0,0,87,0,0,0,1,0,1,0,0,0,62,0,98,5,0,524,272,6,0,21240,1345,1129,230,12,11,5832,58,720,5,3783,819,75,4,0,0,0,0,0,0,0,0,3,2,410,0,152559.0,22591,7520,3783,2727,0.0,0.1480804147903434,0.049292404905643065,0.024796963797612728,0.01787505161937349,0.0,0.03803118793384854,0.04933173395211033,3000
43,DEG_PER_STRIP,7932,5,890,0,25,0,2,3,259,0,10,30,0,0,4906,4705,0,0,9,2,0,0,0,0,0,0,0,0,38,0,33,0,0,2,0,0,12,55,2132,789,142,9,33,23888,451,1512,36,9027,718,40,5,0,0,0,0,0,1,0,35,2,6,0,0,173220.0,18879,26678,9027,3105,0.0,0.10898856944925528,0.15401223877150444,0.052112919986144784,0.01792518184967094,0.0,0.0457914790439903,0.00513797482969634,3000
44,DEG_FOU_WOOD,11773,0,344,0,8,0,0,0,139,0,51,24,0,0,7264,6706,0,0,5,2,0,0,0,0,0,0,0,0,31,0,21,0,0,1,7,12,3,41,2354,1498,265,22,19,12693,510,1402,66,11026,1190,70,15,0,0,0,0,0,0,0,0,0,9,0,0,172714.0,26394,15950,11026,4158,0.0,0.15281911136329424,0.09234920157022593,0.06383964241462765,0.02407448151278993,0.0,0.06816471160415484,0.0019917319962481327,3000
45,DEG_DIE_HILL,4095,9,614,2,45,0,0,0,32,0,4,20,0,0,1660,3506,0,0,7,0,2,0,3,0,0,0,0,0,16,0,34,0,0,1,6,5,9,1237,3278,5570,5560,1951,561,15877,546,1401,100,10067,1200,176,7,0,0,0,0,3,0,0,0,0,11,2,0,172186.0,10059,19861,10067,16920,0.0,0.058419383689730875,0.1153461953933537,0.05846584507451245,0.09826582881302777,0.0,0.02378242133506789,0.0035659112819857596,3000
46,DEG_DIE_SWC,7202,0,956,0,14,0,3,0,33,0,3,31,0,0,2834,5265,0,0,11,0,0,0,0,0,0,0,0,0,12,0,23,0,0,6,6,5,0,69,2562,972,396,81,46,24136,608,1614,50,9545,1132,58,0,0,0,0,0,0,0,0,0,0,3,0,0,173028.0,16384,27644,9545,4057,0.0,0.09468987678294842,0.1597660494255265,0.05516448204914812,0.023447072150172228,0.0,0.041623321080981115,0.005525117322051922,3000
47,DEG_YOU_BOCES,5430,3,1147,0,29,0,0,0,49,0,0,46,0,0,3057,2435,0,0,6,0,0,0,0,0,0,0,0,0,9,0,25,0,0,0,8,8,2,132,5284,7541,6537,2083,99,12403,435,1028,67,8823,854,82,4,0,0,0,0,3,0,0,0,0,15,0,0,172921.0,12251,14968,8823,21544,0.0,0.07084738117406214,0.08655975850243752,0.05102329965706884,0.12458868500644803,0.0,0.03140162270632254,0.006633086785295019,3000
48,DEG_YOU_OSHEA,8285,10,914,0,5,0,0,0,160,0,3,56,0,0,4897,3003,0,0,5,0,0,0,0,0,0,0,0,0,15,0,34,0,0,4,3,8,3,1135,4861,5201,2370,387,146,13594,404,1111,72,9502,1396,103,2,0,0,0,0,0,0,0,0,1,5,0,0,172110.0,17379,16826,9502,12965,0.0,0.10097611992330487,0.09776305850909302,0.05520887804311196,0.07532973098599732,0.0,0.04813781883679043,0.005310557201789553,3000
49,DEG_YOU_JONES,6884,14,341,0,19,0,10,0,137,0,3,258,0,0,4503,4323,0,0,8,0,4,0,0,0,0,0,0,0,19,0,37,0,0,2,0,4,5,2177,2387,1781,456,43,128,21491,997,2074,45,8206,1131,140,1,0,0,0,0,0,0,101,24,0,6,0,0,171240.0,16666,26006,8206,4795,0.0,0.09732539126372343,0.15186872226115394,0.04792104648446625,0.02800163513197851,0.0,0.04020088764307405,0.001991357159542163,3000
50,DEG_VIL,6377,16,345,0,22,0,10,0,24,0,3,217,0,0,4692,4176,0,0,8,0,0,0,0,0,0,0,0,0,21,0,40,0,0,2,0,4,9,2092,2127,1749,438,40,131,22695,643,2228,53,8201,1141,141,3,0,0,0,0,0,0,101,24,0,6,0,0,171386.0,16060,27032,8201,4485,0.0,0.09370660380661197,0.15772583524908684,0.04785104967733654,0.02616899863466094,0.0,0.037208406754343996,0.0020129998949739185,3000
51,SEA_HOO,15595,0,6901,0,12,0,2,0,5294,0,7,77,2,1,8760,2137,3,4,161,13,3,0,0,0,2,0,4,0,1322,8,100,0,0,23,781,9,0,49,2524,775,306,43,19,5122,323,1220,5,5167,784,46,25,0,0,0,0,0,0,0,9,2,0,16,0,172889.0,41173,7519,5167,3667,0.0,0.23814701918572032,0.043490331947087436,0.029886227579545257,0.021210140610449478,0.0,0.09020238418869911,0.039915784115819974,3000
52,MIL_HUM,7048,0,4070,0,0,0,0,0,994,0,0,12,0,0,2454,1544,5,0,353,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,6004,4726,750,121,0,17617,1086,2441,39,8043,1116,9,1,0,0,0,0,0,0,0,0,0,0,0,0,175381.0,16481,22308,8043,11601,0.0,0.0939725511885552,0.12719735889292455,0.04586015588917842,0.06614741619673739,0.0,0.04018679332424835,0.02320661873293002,3000
53,ONE_TER,5335,26,93,0,0,0,2,0,3,0,38,4,0,0,2209,2906,0,0,1,0,0,0,0,0,0,0,0,0,4,0,163,0,0,0,0,0,2,1342,6164,4300,3274,1025,56,11037,1486,334,49,14864,6602,227,0,0,0,0,0,0,0,0,0,0,0,0,0,183242.0,10623,19791,14864,14819,0.0,0.05797251721766844,0.10800471507623798,0.08111677453858832,0.08087119765119351,0.0,0.029114504316695954,0.0005075255672826099,3000
54,ONE_ADO,2146,3,101,0,1,0,8,0,8,0,2,25,0,0,1078,2208,0,0,4,0,0,0,0,0,0,0,0,5,3,0,206,0,0,0,2,0,0,849,4392,783,432,88,202,27015,7109,895,137,5964,7788,176,13,0,0,0,0,0,0,0,0,0,0,0,0,184130.0,5607,43322,5964,5897,0.0,0.03045131157334492,0.23527942214739586,0.03239015912670396,0.032026285776353663,0.0,0.011654809102264704,0.0005485254982892522,3000
55,ONE_STA,15407,1,33,0,2,0,0,0,0,0,6,6,0,0,3361,2540,14,0,8,0,0,0,0,0,0,0,0,4,14,0,59,0,0,3,2,0,0,21,2249,693,368,166,42,22353,1707,853,97,4438,7402,84,0,0,0,0,0,0,0,0,0,0,0,0,0,185816.0,21401,32538,4438,3518,0.0,0.11517307443923021,0.17510870969130754,0.023883842080337538,0.018932707624747063,0.0,0.08291535712748095,0.0001775950402548758,3000
