Lat,Long,Field ID,Crop,Planting date,Harvest date
42.207278,-74.968,CER_DEL_1,Field Corn,5/20/25,12/8/25
42.195417,-74.987639,CER_DEL_2,Field Corn,5/20/25,12/8/25
42.875361,-77.028139,CHO_GEN,Soybean,5/27/25,10/27/25
42.606212,-76.150033,DEG_DIE,Field Corn,6/4/25,9/24/25
42.587209,-76.276495,DEG_FOU,Field Corn,6/3/25,9/17/25
42.12625,-76.433639,DEG_FRI_1,Field Corn,5/22/25,11/14/25
42.125556,-76.434583,DEG_FRI_2,Soybean,5/15/25,11/14/25
42.651417,-76.473778,DEG_LAF_1,Field Corn,6/4/25,11/26/25
42.678944,-76.462611,DEG_LAF_2,Soybean,5/28/25,10/15/25
42.727444,-76.252028,DEG_PER_1,Field Corn,5/20/25,10/1/25
42.672806,-76.222333,DEG_PER_2,Soybean,5/12/25,10/9/25
42.695361,-76.171722,DEG_VIL,Field Corn,5/12/25,10/1/25
43.898667,-76.01525,HUN_REE,Soybean,6/4/25,10/29/25
42.93389,-77.96979,KIK_HAR,Sweet Corn,6/18/25,9/9/25
42.957669,-77.948278,KIK_MBF,Sweet Corn,6/3/25,8/26/25
42.974092,-78.184051,KIK_MYT,Sweet Corn,6/4/25,8/26/25
42.853652,-77.965313,KIK_SWE,Sweet Corn,6/21/25,9/9/25
43.286472,-75.518583,KUH_COL,Field Corn,6/5/25,9/22/25
42.86075,-78.252917,LET_MAC,Field Corn,6/17/25,9/30/25
43.02546,-77.882132,LET_STE_1,Field Corn,6/8/25,9/29/25
43.025487,-77.884436,LET_STE_2,Field Corn,6/8/25,9/29/25
43.214667,-78.554722,LET_VER,Field Corn,5/15/25,8/29/25
42.943028,-77.706028,LET_WAT,Field Corn,6/12/25,10/2/25
42.05,-77.137467,MIL_BAR_1,Soybean,5/30/25,12/22/25
42.051944,-77.061667,MIL_BAR_2,Soybean,6/19/25,NA
42.4613889,-78.712222,MIL_COB,Soybean,5/8/25,10/17/25
42.3616666,-79.17194,MIL_CRO_1,Field Corn,6/4/25,9/22/25
42.3747,-79.1458,MIL_CRO_2,Field Corn,6/4/25,9/22/25
42.329445,-78.716111,MIL_TEL,Field Corn,6/11/25,12/27/25
42.68861111,-78.80805556,MIL_ZIT_1,Soybean,6/23/25,11/5/25
42.679722,-78.807222,MIL_ZIT_2,Field Corn,6/3/25,11/6/25
42.689111,-78.810278,MIL_ZIT_3,Field Corn,6/23/25,11/25/25
42.982978,-74.035696,SMI_ARN_1,Field Corn,5/13/25,
42.970222,-74.025944,SMI_ARN_2,Soybean,5/28/25,10/27/25
43.231444,-75.035444,SMI_BUR,Field Corn,5/27/25,11/20/25
42.663806,-74.515306,SMI_COB,Field Corn,5/14/25,9/15/25
42.826389,-74.5775,SMI_CON_1,Soybean,6/25/25,11/7/25
42.839331,-74.613545,SMI_CON_2,Field Corn,5/20/25,
43.053024,-74.835235,SMI_DOU,Soybean,5/13/25,10/6/25
42.344444,-75.713333,SMI_HOF_1,Field Corn,6/19/25,1/5/25
42.751,-74.570972,SMI_HOF_2,Soybean,6/21/25,11/8/25
42.709361,-75.568417,SMI_LAT,Field Corn,6/5/25,10/14/25
43.115278,-74.842194,SMI_MCC,Field Corn,6/3/25,
42.892139,-77.571167,STA_BLO,Field Corn,6/8/25,10/6/25
42.806861,-76.816667,STA_FRE,Soybean,6/4/25,10/6/25
43.049389,-77.566556,STA_KRE,Field Corn,6/4/25,11/14/25
42.764167,-77.735778,STA_MAC,Field Corn,6/17/25,9/30/25
42.728222,-77.041361,STA_MAR,Field Corn,6/3/25,10/27/25
43.129694,-76.779167,STA_REE_1,Soybean,5/28/25,9/30/25
43.096972,-76.786833,STA_REE_2,Soybean,5/28/25,9/30/25
43.123861,-78.214778,STA_STA,Field Corn,5/20/25,11/20/25
43.064667,-76.825444,STA_WIL,Field Corn,5/12/25,10/24/25
43.312722,-78.365833,STA_WOO,Field Corn,5/15/25,11/25/25
43.019944,-78.189806,ZUE_MYT,Snap Bean,6/23/25,8/12/25
42.625784,-77.558704,ZUE_VOT,Snap Bean,6/26/25,8/14/25